nohup: ignoring input
INFO:root:Namespace(batch_size=256, dataset='ml-20m', factor_size_gmf=64, gpus='0', layers='[256, 128, 64]', log_interval=100, model_type='neumf', num_epoch=10, num_hidden=1, num_neg=4, num_valid=1000, path='./data/', seed=1, sparse=False)
[17:31:58] src/base.cc:51: Upgrade advisory: this mxnet has been built against cuda library version 9000, which is older than the oldest version tested by CI (10000).  Set MXNET_CUDA_LIB_CHECKING=0 to quiet this warning.
train_ncf.py:139: UserWarning: Optimizer created manually outside Module but rescale_grad is not normalized to 1.0/batch_size/num_workers (1.0 vs. 0.00390625). Is this intended?
  mod.init_optimizer(optimizer=optim, kvstore='device')
INFO:root:Training started ...
INFO:root:Epoch[0] Batch [22100-22200]	Speed: 51797.29 samples/sec	cross_entropy=51.243343
INFO:root:Epoch[0] Batch [22200-22300]	Speed: 52396.23 samples/sec	cross_entropy=50.638290
INFO:root:Epoch[0] Batch [22300-22400]	Speed: 52841.16 samples/sec	cross_entropy=49.431377
INFO:root:Epoch[0] Batch [22400-22500]	Speed: 53212.67 samples/sec	cross_entropy=48.698605
INFO:root:Epoch[0] Batch [22500-22600]	Speed: 52005.62 samples/sec	cross_entropy=50.165504
INFO:root:Epoch[0] Batch [22600-22700]	Speed: 53114.81 samples/sec	cross_entropy=48.750317
INFO:root:Epoch[0] Batch [22700-22800]	Speed: 52759.50 samples/sec	cross_entropy=48.986366
INFO:root:Epoch[0] Batch [22800-22900]	Speed: 52373.66 samples/sec	cross_entropy=48.975346
INFO:root:Epoch[0] Batch [22900-23000]	Speed: 52047.26 samples/sec	cross_entropy=49.570351
INFO:root:Epoch[0] Batch [23000-23100]	Speed: 52109.40 samples/sec	cross_entropy=48.785786
INFO:root:Epoch[0] Batch [23100-23200]	Speed: 52793.92 samples/sec	cross_entropy=50.041183
INFO:root:Epoch[0] Batch [23200-23300]	Speed: 53165.09 samples/sec	cross_entropy=49.366199
INFO:root:Epoch[0] Batch [23300-23400]	Speed: 52564.09 samples/sec	cross_entropy=48.699673
INFO:root:Epoch[0] Batch [23400-23500]	Speed: 52850.91 samples/sec	cross_entropy=49.917648
INFO:root:Epoch[0] Batch [23500-23600]	Speed: 53004.73 samples/sec	cross_entropy=48.565636
